id,nome,ativo
86d3a840-8f85-4b35-b4ab-d23f66c29c9d,Caixa Denis,true
4ff061a6-d9ef-45c0-a864-727837aaa47e,Caixa Angela,true
ab786750-0e5f-412c-ba2f-61e700ae345f,Caixa BRPF,true
